28.87,104.96;0.0032978479,-0.0027680397
28.71,105.06;0.003142939787,-0.00318646430999
28.77,105.38;0.003075302335,-0.00356197357
28.96,105.46;0.002985198219,-0.00358343124
28.79,105.78;0.003243965632,-0.0035995245
28.91,105.39;0.002967854496,-0.00358879565999
28.03,105.79;0.003437796081,-0.00355124474
28.19,105.44;0.003276639099,-0.00356733799001
28.6,104.91;0.003537170171,-0.00262320042
28.36,105.06;0.003280855721,-0.00316500664
28.38,104.81;0.00348319063,-0.00264465808999
28.4,104.52;0.003482533589,-0.00237107277
28.16,104.53;0.003523497282,-0.00233888626001
28.68,104.15;0.003181492004,-0.00241935253
29.59,103.73;0.002738272798,-0.00219941139
29.75,103.59;0.002878303008,-0.001963377
29.95,103.38;0.002514632898,-0.00227987766
30.04,103.53;0.002763128458,-0.00207066535999
29.86,103.81;0.002740220105,-0.00217795371999
30.05,103.81;0.002734988495,-0.00218331814
30.22,103.83;0.002772001754,-0.00215113163
29.67,104.06;0.002554311709,-0.00245153904
30.0,104.09;0.002494784227,-0.00251054764
29.21,103.93;0.003099704382,-0.00204384326999
28.96,103.98;0.003187030765,-0.00216186047
29.62,103.5;0.00271880416,-0.00214040279
28.87,103.53;0.003279056447,-0.0020223856
29.23,103.25;0.002925884293,-0.00196874142
29.24,103.13;0.00275240075,-0.00207602978
29.7,107.36;0.002511611077,-0.00457584858
30.36,107.34;0.002508829785,-0.00457584858
29.89,107.7;0.002678933198,-0.00441491603999
29.98,108.13;0.002453465872,-0.00456511974001
28.47,108.97;0.003456651418,-0.0043129921
28.85,108.75;0.003148121912,-0.00432372093
29.53,108.81;0.002735231846,-0.00433981419
29.29,108.19;0.002751055169,-0.00438809395
29.29,108.72;0.002835272313,-0.00431835651
29.15,107.13;0.002764187767,-0.00444173813
30.83,108.35;0.002298611686,-0.00453293324
31.23,108.39;0.002027509252,-0.00461876391999
31.98,108.67;0.00227516646,-0.00438809395
31.42,109.6;0.002307253387,-0.00473141670001
31.1,109.86;0.002393178309,-0.00477969646001
31.06,109.52;0.002320658805,-0.00484943390001
30.99,108.89;0.00250631672,-0.00433981419
30.33,108.03;0.002537380774,-0.00451147555999
30.66,107.78;0.002533403541,-0.00450074673
30.8,106.06;0.002326977246,-0.00397503376
31.75,105.96;0.002280850496,-0.00370144844001
31.75,105.97;0.002258041713,-0.00373363495
31.52,106.38;0.001980103828,-0.00412523746
31.34,106.03;0.002121363794,-0.00392138958
31.01,105.84;0.002469008388,-0.00363707542
31.07,106.57;0.002476642816,-0.00379264355
31.04,106.44;0.002174062305,-0.00410377979
30.48,106.61;0.002783139424,-0.00375509262
30.55,106.43;0.002406925468,-0.00408232212
30.38,106.3;0.002586991856,-0.00387310982001
30.41,106.74;0.002618583193,-0.00404477119001
31.23,107.49;0.002174298941,-0.00460803509
32.07,108.06;0.002054728336,-0.00470995903
31.39,107.71;0.002193506018,-0.00453829765
31.1,107.87;0.00243451973,-0.00433981418999
30.36,106.91;0.002805079616,-0.00395357609
30.75,107.21;0.00244805541,-0.00444710255
30.85,106.94;0.002592887154,-0.00403940678001
32.36,106.83;0.002342729793,-0.0041359663
31.86,106.73;0.002182453754,-0.00412523746
31.59,107.11;0.001951201134,-0.00461876392001
31.95,108.24;0.002162113101,-0.00448465347
32.0,108.18;0.002092694749,-0.00460267067
29.97,102.97;0.002783667499,-0.00168979168001
30.17,102.91;0.00287544296,-0.00154495239001
30.09,103.06;0.002543576553,-0.00203847885
29.79,102.81;0.002760762546,-0.00161468982999
29.4,102.66;0.002944382325,-0.00145375729001
29.21,102.38;0.002776619035,-0.00172197819001
30.09,102.78;0.002710675113,-0.00165224075
30.36,102.84;0.002791192885,-0.00158786774
31.92,102.22;0.002235672542,-0.00165760517
31.79,102.55;0.002352821202,-0.00148057938
