active_time,aerobic,calories,distance,steps,speed,time
22,True,0.0,29,42,1.31799995899,1370818740
19,True,1.08800005913,28,40,1.47399997711,1370818920
11,True,0.563000023365,14,21,1.27300000191,1370818980
46,True,2.27500009537,56,84,1.21700000763,1370819040
25,True,1.40600001812,36,51,1.44000005722,1370819100
37,True,1.85899996758,46,68,1.24300003052,1370819220
14,True,0.813000023365,21,29,1.5,1370819580
41,True,2.33500003815,60,85,1.46300005913,1370819640
18,True,1.36000001431,31,40,1.72200000286,1370819700
14,True,0.751999974251,19,27,1.35699999332,1370819760
13,True,0.708999991417,18,26,1.38499999046,1370819880
13,True,0.740000009537,19,26,1.4620000124,1370820000
13,True,0.769999980927,20,28,1.5379999876,1370820060
9,True,0.446000009775,11,16,1.22200000286,1370820300
23,True,1.25999999046,32,45,1.39100003242,1370820420
58,False,3.2460000515,83,116,1.43099999428,1370820480
58,False,3.30800008774,85,118,1.4659999609,1370820540
60,False,3.71399998665,95,131,1.58299994469,1370820600
59,False,3.44199991226,89,123,1.50800001621,1370820660
2,False,0.0860000029206,2,3,1.0,1370820720
12,True,0.635999977589,16,23,1.33299994469,1370821860
9,True,0.507000029087,13,18,1.44400000572,1370822760
54,True,3.04500007629,78,109,1.44400000572,1370822820
35,True,1.74300003052,43,64,1.22899997234,1370826240
27,True,1.30900001526,32,47,1.18499994278,1370826300
35,True,2.07899999619,54,74,1.54299998283,1370826360
19,True,1.08800005913,28,39,1.47399997711,1370826420
33,True,1.9620000124,51,71,1.54499995708,1370826540
8,True,0.527999997139,13,18,1.625,1370826600
46,False,2.70199990273,70,98,1.52199995518,1370827500
60,False,3.61500000954,94,129,1.56700003147,1370827560
60,False,3.54600000381,92,126,1.53299999237,1370827620
56,False,3.31299996376,86,118,1.53600001335,1370827680
60,False,3.5759999752,93,128,1.54999995232,1370827740
30,False,1.74199998379,45,64,1.5,1370827800
9,True,0.384999990463,9,14,1.0,1370827920
47,True,2.68400001526,69,96,1.46800005436,1370828160
60,True,3.4849998951,90,124,1.5,1370828220
51,True,2.91599988937,75,104,1.47099995613,1370828280
16,True,0.929000020027,24,34,1.5,1370828520
51,True,2.9470000267,76,106,1.49000000954,1370828580
60,True,3.39299988747,87,122,1.45000004768,1370828640
45,True,2.76099991798,71,96,1.57799994946,1370828700
28,True,1.62600004673,42,58,1.5,1370828880
